,SIDateTime,ElectricActivity,NLS,ltgAll,VASR_AB,OverallABmedInfra,OverallABmedSeis,maxseisDur,maxinfraDur,CRF_yn,CRF_yn2,start_ElectricActivity,Factor_ltgAll
4,5/28/15 18:17:35,44.310954,4028,29,58.93316993,1643731537,27891449.57,99.86,90.58,y,y,44.31097825,1
5,5/28/15 20:07:17,27.320221,2269,13,21.49846984,791946988.3,38387727.48,99.45,90.17,y,y,27.32024525,1
6,5/28/15 21:20:52,16.943468,1724,3,17.67274476,681077516.8,42284222.01,99.52,90.22,y,y,16.94349225,1
7,5/28/15 22:20:15,201.6351,9932,49,10.49500744,245803309.8,23420975.28,99.57,90.21,y,y,201.6351243,1
14,5/29/15 01:26:59,162.97927,714,29,0.779537221,200033.3834,359754.8419,60.49,50.84,y,y,162.9792943,1
28,5/29/15 05:27:46,83.865779,2908,15,14.03263189,41585392.4,3436010.699,98.99,90.14,y,y,83.86580325,1
31,5/29/15 07:03:22,181.29527,3060,38,8.60941647,4779989.934,588057.669,96.53,90.33,y,y,181.2952943,1
36,5/29/15 07:43:42,66.963462,99,10,0.11267064,7222.303083,73665.97646,22.08,6.76,y,y,66.96348625,1
39,5/29/15 08:12:16,107.20479,6248,100,2.355587976,18409117.65,7815083.895,103.58,90.12,y,y,107.2048143,1
203,5/30/15 11:28:10,1.7686227,76,2,6.657423125,122760488,25108749.9,32.38,24.54,y,y,1.76864695,1
211,5/30/15 13:13:32,11.005331,8878,10,45.55019996,987810668.9,23067849.58,65,56.15,y,y,11.00535525,1
217,5/30/15 14:56:03,7.8326405,41,2,22.93335694,231093591.4,10439688.03,45.47,36.74,y,y,7.83266475,1
226,5/30/15 16:24:50,12.293357,353,6,14.17551612,204885605.9,16549976.69,50.61,41.82,y,y,12.29338125,1
268,5/31/15 00:40:42,40.232773,440,11,1.712590512,38743.58469,175294.173,27.37,16.55,y,y,40.23279725,1
274,5/31/15 04:13:24,138.21351,58,1,5.013790581,387785.308,701275.1372,44.62,32.06,y,y,138.2135343,1
275,5/31/15 04:41:09,70.620809,134,11,6.862562178,1151509.912,957878.6145,101.48,90.33,y,y,70.62083325,1
329,6/1/15 07:27:43,71.497915,1648,31,3.675306919,2613693.175,4813817.619,73.06,66.64,y,y,71.49793925,1
359,6/1/15 11:15:55,27.281846,434,10,5.77930606,1636976.272,2151074.901,79.86,70.66,y,y,27.28187025,1
368,6/1/15 11:59:30,16.987299,31,3,2.51603251,432398.0303,1247041.419,51.2,45.39,y,y,16.98732325,1
371,6/1/15 12:04:36,11.19451,35,2,8.387420944,901073.5217,672653.6196,58.5,49.78,y,y,11.19453425,1
384,6/1/15 12:45:45,12.537831,25,1,4.639359424,1092208.125,1360439.649,100.35,89.99,y,y,12.53785525,1
401,6/2/15 03:30:06,13.90047,15,1,8.7680697,548223.4059,62524.98265,43.39,36.97,y,y,13.90049425,1
480,6/2/15 13:29:20,15.743794,88,9,16.12224009,3668742.536,287014.9211,98.3,92.14,y,y,15.74381825,1
486,6/2/15 14:02:13,22.106588,402,15,6.744167153,1856390.431,346253.4711,100.6,90.32,y,y,22.10661225,1
490,6/2/15 14:29:04,15.787479,18,1,7.256966032,860840.9237,91508.65341,49.34,37.16,y,y,15.78750325,1
625,6/3/15 08:23:13,107.34844,45,5,2.807991984,563348.139,286269.8193,81.77,73.86,y,y,107.3484643,1
642,6/3/15 11:30:30,7.0464404,85,3,24.96148754,42968263.71,1864997.427,56.13,47.97,y,y,7.04646465,1
664,6/4/15 01:34:33,12.937395,173,10,70.56020472,444282790.5,6296506.539,56.3,47.62,y,y,12.93741925,1
666,6/4/15 01:48:10,38.823898,802,22,8.509308117,149632411.4,17584556.74,60.68,52.86,y,y,38.82392225,1
667,6/4/15 02:25:35,263.978,1837,36,62.06567163,640213903.6,10315104.74,98.3,91.5,y,y,263.9780243,1
679,6/4/15 05:19:29,16.434178,1979,16,6.174400907,115039640.9,18631708.99,55.45,37.48,y,y,16.43420225,1
680,6/4/15 05:22:31,153.26163,914,34,4.480613287,46427822.91,11072787.98,58.86,49.42,y,y,153.2616543,1
685,6/4/15 06:22:17,21.501908,33,1,2.125133962,1559680.411,1033162.103,101.99,90.14,y,y,21.50193225,1
692,6/4/15 07:16:55,147.5528,115,14,2.361121416,1107475.197,641477.8918,68.51,54.72,y,y,147.5528243,1
693,6/4/15 07:48:09,34.436427,80,6,1.414645057,859063.3129,790699.6788,97.18,90.19,y,y,34.43645125,1
700,6/4/15 10:34:27,26.688787,1828,28,7.547613963,134109288.3,17768435.03,99.83,92.21,y,y,26.68881125,1
701,6/4/15 10:35:19,121.2225,1563,31,7.911320757,10035710.54,1268525.301,19.88,10.72,y,y,121.2225243,1
714,6/4/15 13:10:34,49.418697,718,18,1.441309391,864671.7459,674182.727,93.99,87.57,y,y,49.41872125,1
727,6/4/15 14:55:31,13.111316,75,2,1.083410585,328541.1087,369532.7785,68.76,53.32,y,y,13.11134025,1
729,6/4/15 15:01:32,85.827529,64,5,1.384152226,546934.8977,485402.5586,105.78,90.57,y,y,85.82755325,1
734,6/4/15 15:34:14,28.482207,64,4,1.249107919,771769.5384,720364.2549,99.41,90.42,y,y,28.48223125,1
735,6/4/15 15:40:35,57.341571,119,7,3.701692586,2425671.824,766234.7633,98.24,91.75,y,y,57.34159525,1
754,6/4/15 18:19:37,20.582462,393,8,4.475377285,4127728.146,989996.9574,28.21,21.45,y,y,20.58248625,1
766,6/4/15 19:51:40,168.24802,108,13,0.87962935,604632.6171,753801.7798,105.25,90.21,y,y,168.2480443,1
796,6/4/15 22:25:01,20.019902,41,3,0.226827002,531384.5032,2389144.318,103.39,90.27,y,y,20.01992625,1
810,6/4/15 23:57:37,33.111963,251,10,4.738897958,1088141.287,291698.1089,43.25,31.35,y,y,33.11198725,1
813,6/5/15 00:21:33,40.253971,79,6,2.499357224,1759107.976,1050987.211,66.17,54.55,y,y,40.25399525,1
837,6/5/15 01:59:38,20.013918,126,7,7.525681283,1486198.867,237128.7724,63.01,51.71,y,y,20.01394225,1
885,6/5/15 06:15:50,91.107301,225,9,3.476578493,284181.6308,81741.75598,53.09,30.18,y,y,91.10732525,1
900,6/5/15 08:11:47,18.82944,51,3,0.458336457,1019890.537,2234418.8,98.18,90.26,y,y,18.82946425,1
924,6/5/15 10:27:31,5.8040398,31,2,4.158815435,1775161.656,460311.999,103.22,87.19,y,y,5.80406405,1
1233,6/6/15 09:17:12,29.763948,96,5,3.982028663,960633.286,241242.1827,59.43,44.34,y,y,29.76397225,1
1298,6/6/15 15:11:15,12.756367,22,1,2.392561671,1196701.332,506993.5165,48.23,41.66,y,y,12.75639125,1
1300,6/6/15 15:22:35,16.319305,52,4,4.289334142,259721.3811,74278.80649,70.93,59.74,y,y,16.31932925,1
1305,6/6/15 15:45:55,16.868843,45,1,1.480739998,392596.2626,304686.8111,50.91,41.32,y,y,16.86886725,1
1312,6/6/15 16:19:02,10.78812,17,2,2.915392873,412876.5594,182805.7214,50.33,43.38,y,y,10.78814425,1
1314,6/6/15 16:23:12,5.9816847,27,2,2.1301795,191831.0777,108187.1054,40.81,36.21,y,y,5.98170895,1
1315,6/6/15 16:26:19,15.977078,29,3,1.75027538,628775.5761,454149.2377,51.41,42.83,y,y,15.97710225,1
1396,6/6/15 23:38:16,19.128995,497,28,89.45258633,510164886.8,5743597.39,99.35,90.23,y,y,19.12901925,1
1402,6/7/15 00:12:14,20.988497,53,4,5.163676832,1456281.966,327327.224,72.9,66.39,y,y,20.98852125,1
1458,6/7/15 07:59:00,45.090871,2458,22,96.38253512,2419413923,25102202.6,99.07,90.15,y,y,45.09089525,1
1466,6/7/15 09:36:21,59.515631,9394,38,86.85829365,792298618.1,9121738.234,83.41,75.08,y,y,59.51565525,1
1470,6/7/15 10:05:28,13.509228,37,3,3.423923967,691195.9857,204014.0722,58.42,47.67,y,y,13.50925225,1
1472,6/7/15 10:23:23,11.369116,27,2,3.78034577,2137578.974,572636.7811,88.28,67.8,y,y,11.36914025,1
1474,6/7/15 11:30:57,21.294069,110,7,5.561044481,1325575.478,214401.4772,46.44,27.51,y,y,21.29409325,1
1480,6/7/15 12:22:24,29.032672,243,6,6.017239937,3900227.468,691726.1896,62.75,49.67,y,y,29.03269625,1
1492,6/7/15 13:45:30,20.898959,82,7,2.418445848,302266.7321,97151.96213,30.51,23.55,y,y,20.89898325,1
1503,6/7/15 14:47:10,27.042962,90,1,3.414216718,297103.6468,103637.1317,27.73,19.95,y,y,27.04298625,1
1510,6/7/15 16:12:24,28.646828,37,3,1.302393359,660551.0205,616445.6153,85.39,77.75,y,y,28.64685225,1
