"","SIDateTime","ElectricActivity","NLS","ltgAll","VASR_AB","OverallABmedInfra","OverallABmedSeis","maxseisDur","maxinfraDur","CRF_yn","CRF_yn2","start_ElectricActivity","Factor_ltgAll"
"4","28-May-2015 18:17:35",44.310954,4028,29,58.9331699346424,1643731537.04252,27891449.5667795,99.86,90.58,"y","y",44.31097825,"1"
"5","28-May-2015 20:07:17",27.320221,2269,13,21.4984698444369,791946988.340486,38387727.4827875,99.45,90.17,"y","y",27.32024525,"1"
"6","28-May-2015 21:20:52",16.943468,1724,3,17.6727447629901,681077516.830669,42284222.011084,99.52,90.22,"y","y",16.94349225,"1"
"7","28-May-2015 22:20:15",201.6351,9932,49,10.4950074386167,245803309.796371,23420975.2812495,99.57,90.21,"y","y",201.63512425,"1"
"14","29-May-2015 01:26:59",162.97927,714,29,0.779537221062348,200033.3834155,359754.8419015,60.49,50.84,"y","y",162.97929425,"1"
"28","29-May-2015 05:27:46",83.865779,2908,15,14.0326318925544,41585392.4026875,3436010.6994105,98.99,90.14,"y","y",83.86580325,"1"
"31","29-May-2015 07:03:22",181.29527,3060,38,8.60941646977993,4779989.933938,588057.669031,96.53,90.33,"y","y",181.29529425,"1"
"36","29-May-2015 07:43:42",66.963462,99,10,0.112670640205149,7222.303083,73665.976458,22.08,6.76,"y","y",66.96348625,"1"
"39","29-May-2015 08:12:16",107.20479,6248,100,2.35558797605582,18409117.6542405,7815083.8947075,103.58,90.12,"y","y",107.20481425,"1"
"203","30-May-2015 11:28:10",1.7686227,76,2,6.65742312527327,122760488.048463,25108749.8970405,32.38,24.54,"y","y",1.76864695,"1"
"211","30-May-2015 13:13:32",11.005331,8878,10,45.5501999581526,987810668.899541,23067849.578694,65,56.15,"y","y",11.00535525,"1"
"217","30-May-2015 14:56:03",7.8326405,41,2,22.9333569395867,231093591.39884,10439688.027902,45.47,36.74,"y","y",7.83266475,"1"
"226","30-May-2015 16:24:50",12.293357,353,6,14.1755161191783,204885605.930241,16549976.686176,50.61,41.82,"y","y",12.29338125,"1"
"268","31-May-2015 00:40:42",40.232773,440,11,1.71259051232087,38743.584694,175294.173007,27.37,16.55,"y","y",40.23279725,"1"
"274","31-May-2015 04:13:24",138.21351,58,1,5.01379058122382,387785.307994,701275.137241,44.62,32.06,"y","y",138.21353425,"1"
"275","31-May-2015 04:41:09",70.620809,134,11,6.86256217815411,1151509.912349,957878.614548,101.48,90.33,"y","y",70.62083325,"1"
"329","01-Jun-2015 07:27:43",71.497915,1648,31,3.6753069192202,2613693.174506,4813817.619433,73.06,66.64,"y","y",71.49793925,"1"
"359","01-Jun-2015 11:15:55",27.281846,434,10,5.77930605960989,1636976.271657,2151074.900837,79.86,70.66,"y","y",27.28187025,"1"
"368","01-Jun-2015 11:59:30",16.987299,31,3,2.51603250959905,432398.030296,1247041.418973,51.2,45.39,"y","y",16.98732325,"1"
"371","01-Jun-2015 12:04:36",11.19451,35,2,8.38742094387804,901073.521739,672653.619622,58.5,49.78,"y","y",11.19453425,"1"
"384","01-Jun-2015 12:45:45",12.537831,25,1,4.63935942360787,1092208.125445,1360439.64872,100.35,89.99,"y","y",12.53785525,"1"
"401","02-Jun-2015 03:30:06",13.90047,15,1,8.76806970002043,548223.405859,62524.982649,43.39,36.97,"y","y",13.90049425,"1"
"480","02-Jun-2015 13:29:20",15.743794,88,9,16.1222400877289,3668742.536283,287014.921073,98.3,92.14,"y","y",15.74381825,"1"
"486","02-Jun-2015 14:02:13",22.106588,402,15,6.74416715318933,1856390.430641,346253.471115,100.6,90.32,"y","y",22.10661225,"1"
"490","02-Jun-2015 14:29:04",15.787479,18,1,7.25696603207801,860840.92367,91508.653412,49.34,37.16,"y","y",15.78750325,"1"
"625","03-Jun-2015 08:23:13",107.34844,45,5,2.80799198393672,563348.138972,286269.819271,81.77,73.86,"y","y",107.34846425,"1"
"642","03-Jun-2015 11:30:30",7.0464404,85,3,24.9614875446597,42968263.7116545,1864997.4270255,56.13,47.97,"y","y",7.04646465,"1"
"664","04-Jun-2015 01:34:33",12.937395,173,10,70.5602047249825,444282790.464635,6296506.539292,56.3,47.62,"y","y",12.93741925,"1"
"666","04-Jun-2015 01:48:10",38.823898,802,22,8.50930811689112,149632411.404763,17584556.740605,60.68,52.86,"y","y",38.82392225,"1"
